Andrzej Nowacki , Polish , born 1953 , 26 artworks
Gunther Forg , German , 1953 - 2013 , 42 artworks
Anne Appleby , American , born 1954 , 34 artworks
Jill Baroff , American , born 1954 , 10 artworks
Bruno Jakob , Swiss , born 1954 , 10 artworks
Michael Krebber , German , born 1954 , 10 artworks
Philip Taaffe , American , born 1955 , 10 artworks
Gaylen Gerber , American , born 1955 , 10 artworks
Pedro Cabrita Reis , Portuguese , born 1956 , 10 artworks
Charles Gibbons , Canadian , born 1957 , 16 artworks
Barbara McGivern , Canadian , born 1957 , 0 artworks
Heimo Zobernig , Austrian , born 1958 , 15 artworks
Moon Pil Shim , French , born 1958 , 16 artworks
Christian Eckart , Canadian , born 1959 , 10 artworks
Iseult Labote , Swiss , born 1959 , 18 artworks
Mostafa Dashti , Iranian , born 1960 , 36 artworks
Eric Zammitt , American , born 1960 , 10 artworks
Sofia Areal , Portuguese , born 1960 , 13 artworks
Gennady Mironov , Belarusian , born 1961 , 18 artworks
Ding Yi , Chinese , born 1962 , 29 artworks
Callum Innes , British , born 1962 , 15 artworks
Gianni Sarcone , Italian , born 1962 , 8 artworks
Josignacio , Cuban , born 1963 , 6 artworks
Jan Maarten Voskuil , Dutch , born 1964 , 10 artworks
Carsten Nicolai , German , born 1965 , 24 artworks
Darren Waterston , American , born 1965 , 10 artworks
Mariojosé Ángeles , Dominican , born 1965 , 25 artworks
Ian Davenport , British , born 1966 , 11 artworks
Daniel Sambo-Richter , German , born 1966 , 50 artworks
Bernd Luz , German , born 1966 , 13 artworks
Sarah Morris , British , born 1967 , 15 artworks
Ilse D'Hollander , Belgian , 1968 - 1997 , 10 artworks
Pablo Rey , Spanish , born 1968 , 30 artworks
Wolfgang Tillmans , German , born 1968 , 9 artworks
Paula Klien , Brazilian , born 1968 , 41 artworks
Julie Mehretu , Ethiopian , born 1970 , 15 artworks
Lorenzo Belenguer , British , born 1970 , 4 artworks
Xu Hongming , Chinese , born 1971 , 18 artworks
Albrecht Behmel , German , born 1971 , 16 artworks
Thomas Riesner , German , born 1971 , 30 artworks
Cameron Platter , South African , born 1978 , 22 artworks
Justin Earl Grant , American , born 1980 , 10 artworks
Rodrigo Franzao , Brazilian , born 1982 , 56 artworks
Jacob Kassay , American , born 1984 , 10 artworks
Yui Yaegashi , Japanese , born 1985 , 15 artworks
Nemanja Vuckovic , Serbian , born 1990 , 25 artworks
Sharon Butler , American , 10 artworks
